Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-03-22;35,5071;35,5071;35,5071;35,5071;;
2017-03-21;35,651;35,651;35,651;35,651;;
2017-03-20;35,8429;35,8429;35,8429;35,8429;;
2017-03-17;35,9004;35,9004;35,9004;35,9004;;
2017-03-16;35,8333;35,8333;35,8333;35,8333;;
2017-03-15;35,5551;35,5551;35,5551;35,5551;;
2017-03-14;35,3946;35,3946;35,3946;35,3946;;
2017-03-13;35,5094;35,5094;35,5094;35,5094;;
2017-03-10;35,3755;35,3755;35,3755;35,3755;;
2017-03-09;35,3372;35,3372;35,3372;35,3372;;
2017-03-08;35,3085;35,3085;35,3085;35,3085;;
2017-03-07;35,2798;35,2798;35,2798;35,2798;;
2017-03-06;35,3755;35,3755;35,3755;35,3755;;
2017-03-03;35,5476;35,5476;35,5476;35,5476;;
2017-03-02;35,5859;35,5859;35,5859;35,5859;;
2017-03-01;35,5667;35,5667;35,5667;35,5667;;
2017-02-28;35,0503;35,0503;35,0503;35,0503;;
2017-02-27;34,9834;34,9834;34,9834;34,9834;;
2017-02-24;35,0312;35,0312;35,0312;35,0312;;
2017-02-23;35,299;35,299;35,299;35,299;;
2017-02-22;35,3181;35,3181;35,3181;35,3181;;
2017-02-21;35,3181;35,3181;35,3181;35,3181;;
2017-02-20;35,0886;35,0886;35,0886;35,0886;;
2017-02-17;35,0121;35,0121;35,0121;35,0121;;
2017-02-16;35,0025;35,0025;35,0025;35,0025;;
2017-02-15;35,1077;35,1077;35,1077;35,1077;;
2017-02-14;34,9834;34,9834;34,9834;34,9834;;
2017-02-13;34,9738;34,9738;34,9738;34,9738;;
2017-02-10;34,7156;34,7156;34,7156;34,7156;;
2017-02-09;34,6582;34,6582;34,6582;34,6582;;
2017-02-08;34,3904;34,3904;34,3904;34,3904;;
2017-02-07;34,2757;34,2757;34,2757;34,2757;;
2017-02-06;34,1705;34,1705;34,1705;34,1705;;
2017-02-03;34,40;34,40;34,40;34,40;;
2017-02-02;34,1992;34,1992;34,1992;34,1992;;
2017-02-01;34,3044;34,3044;34,3044;34,3044;;
2017-01-31;34,0079;34,0079;34,0079;34,0079;;
2017-01-30;34,247;34,247;34,247;34,247;;
2017-01-27;34,5913;34,5913;34,5913;34,5913;;
2017-01-26;34,706;34,706;34,706;34,706;;
2017-01-25;34,6104;34,6104;34,6104;34,6104;;
2017-01-24;34,18;34,18;34,18;34,18;;
2017-01-23;34,094;34,094;34,094;34,094;;
